window,x,y,width
0,8,0,2
1,9,0,2
2,5,1,2
3,6,1,2
4,7,1,2
5,8,1,2
6,9,1,2
7,5,2,2
8,6,2,2
9,7,2,2
10,8,2,2
11,9,2,2
12,5,3,2
13,6,3,2
14,7,3,2
15,8,3,2
16,9,3,2
17,5,4,2
18,6,4,2
19,7,4,2
20,8,4,2
21,9,4,2
22,5,5,2
23,6,5,2
24,7,5,2
25,8,5,2
26,9,5,2
27,5,6,2
28,6,6,2
29,7,6,2
30,8,6,2
31,9,6,2
32,5,7,2
33,6,7,2
34,7,7,2
35,8,7,2
36,9,7,2
37,5,8,2
38,6,8,2
39,7,8,2
40,8,8,2
41,9,8,2
42,5,9,2
43,6,9,2
44,7,9,2
45,8,9,2
46,9,9,2
47,5,10,2
48,6,10,2
49,7,10,2
50,8,10,2
51,9,10,2
52,5,11,2
53,6,11,2
54,7,11,2
55,8,11,2
56,9,11,2
57,5,12,2
58,6,12,2
59,7,12,2
60,8,12,2
61,9,12,2
62,5,13,2
63,6,13,2
64,7,13,2
65,8,13,2
66,9,13,2
67,5,14,2
68,6,14,2
69,7,14,2
70,8,14,2
71,9,14,2
72,5,15,2
73,6,15,2
74,7,15,2
75,8,15,2
76,9,15,2
77,5,16,2
78,6,16,2
79,7,16,2
80,8,16,2
81,9,16,2
82,5,17,2
83,6,17,2
84,7,17,2
85,8,17,2
86,9,17,2
87,5,18,2
88,6,18,2
89,7,18,2
90,8,18,2
91,9,18,2
92,5,19,2
93,6,19,2
94,7,19,2
95,8,19,2
96,9,19,2
97,5,20,2
98,6,20,2
99,7,20,2
100,8,20,2
101,9,20,2
102,5,21,2
103,6,21,2
104,7,21,2
105,8,21,2
106,9,21,2
107,5,22,2
108,6,22,2
109,7,22,2
110,8,22,2
111,9,22,2
112,5,23,2
113,6,23,2
114,7,23,2
115,8,23,2
116,5,24,2
117,6,24,2
118,7,24,2
119,8,24,2
120,38,1,1
121,39,1,1
122,30,2,1
123,31,2,1
124,32,2,1
125,33,2,1
126,34,2,1
127,35,2,1
128,36,2,1
129,37,2,1
130,38,2,1
131,39,2,1
132,30,3,1
133,31,3,1
134,32,3,1
135,33,3,1
136,34,3,1
137,35,3,1
138,36,3,1
139,37,3,1
140,38,3,1
141,39,3,1
142,30,4,1
143,31,4,1
144,32,4,1
145,33,4,1
146,34,4,1
147,35,4,1
148,36,4,1
149,37,4,1
150,38,4,1
151,39,4,1
152,30,5,1
153,31,5,1
154,32,5,1
155,33,5,1
156,34,5,1
157,35,5,1
158,36,5,1
159,37,5,1
160,38,5,1
161,39,5,1
162,30,6,1
163,31,6,1
164,32,6,1
165,33,6,1
166,34,6,1
167,35,6,1
168,36,6,1
169,37,6,1
170,38,6,1
171,39,6,1
172,30,7,1
173,31,7,1
174,32,7,1
175,33,7,1
176,34,7,1
177,35,7,1
178,36,7,1
179,37,7,1
180,38,7,1
181,39,7,1
182,30,8,1
183,31,8,1
184,32,8,1
185,33,8,1
186,34,8,1
187,35,8,1
188,36,8,1
189,37,8,1
190,38,8,1
191,39,8,1
192,30,9,1
193,31,9,1
194,32,9,1
195,33,9,1
196,34,9,1
197,35,9,1
198,36,9,1
199,37,9,1
200,38,9,1
201,39,9,1
202,30,10,1
203,31,10,1
204,32,10,1
205,33,10,1
206,34,10,1
207,35,10,1
208,36,10,1
209,37,10,1
210,38,10,1
211,39,10,1
212,30,11,1
213,31,11,1
214,32,11,1
215,33,11,1
216,34,11,1
217,35,11,1
218,36,11,1
219,37,11,1
220,38,11,1
221,39,11,1
222,30,12,1
223,31,12,1
224,32,12,1
225,33,12,1
226,34,12,1
227,35,12,1
228,36,12,1
229,37,12,1
230,38,12,1
231,39,12,1
232,30,13,1
233,31,13,1
234,32,13,1
235,33,13,1
236,34,13,1
237,35,13,1
238,36,13,1
239,37,13,1
240,38,13,1
241,39,13,1
242,30,14,1
243,31,14,1
244,32,14,1
245,33,14,1
246,34,14,1
247,35,14,1
248,36,14,1
249,37,14,1
250,38,14,1
251,39,14,1
252,30,15,1
253,31,15,1
254,32,15,1
255,33,15,1
256,34,15,1
257,35,15,1
258,36,15,1
259,37,15,1
260,38,15,1
261,39,15,1
262,30,16,1
263,31,16,1
264,32,16,1
265,33,16,1
266,34,16,1
267,35,16,1
268,36,16,1
269,37,16,1
270,38,16,1
271,39,16,1
272,30,17,1
273,31,17,1
274,32,17,1
275,33,17,1
276,34,17,1
277,35,17,1
278,36,17,1
279,37,17,1
280,38,17,1
281,39,17,1
282,30,18,1
283,31,18,1
284,32,18,1
285,33,18,1
286,34,18,1
287,35,18,1
288,36,18,1
289,37,18,1
290,38,18,1
291,39,18,1
292,30,19,1
293,31,19,1
294,32,19,1
295,33,19,1
296,34,19,1
297,35,19,1
298,36,19,1
299,37,19,1
300,38,19,1
301,39,19,1
302,30,20,1
303,31,20,1
304,32,20,1
305,33,20,1
306,34,20,1
307,35,20,1
308,36,20,1
309,37,20,1
310,38,20,1
311,39,20,1
312,30,21,1
313,31,21,1
314,32,21,1
315,33,21,1
316,34,21,1
317,35,21,1
318,36,21,1
319,37,21,1
320,38,21,1
321,39,21,1
322,30,22,1
323,31,22,1
324,32,22,1
325,33,22,1
326,34,22,1
327,35,22,1
328,36,22,1
329,37,22,1
330,38,22,1
331,39,22,1
332,30,23,1
333,31,23,1
334,32,23,1
335,33,23,1
336,34,23,1
337,35,23,1
338,36,23,1
339,38,23,1
340,39,23,1
341,30,24,1
342,32,24,1
343,32,24,1
344,33,24,1
345,34,24,1
346,35,24,1
347,36,24,1
348,38,24,1
349,39,24,1
350,20,1,1
351,21,1,1
352,22,1,1
353,23,1,1
354,20,2,1
355,21,2,1
356,22,2,1
357,23,2,1
358,24,2,1
359,25,2,1
360,26,2,1
361,27,2,1
362,28,2,1
363,29,2,1
364,20,3,1
365,21,3,1
366,22,3,1
367,23,3,1
368,24,3,1
369,25,3,1
370,26,3,1
371,27,3,1
372,28,3,1
373,29,3,1
374,20,4,1
375,21,4,1
376,22,4,1
377,23,4,1
378,24,4,1
379,25,4,1
380,26,4,1
381,27,4,1
382,28,4,1
383,29,4,1
384,20,5,1
385,21,5,1
386,22,5,1
387,23,5,1
388,24,5,1
389,25,5,1
390,26,5,1
391,27,5,1
392,28,5,1
393,29,5,1
394,20,6,1
395,21,6,1
396,22,6,1
397,23,6,1
398,24,6,1
399,25,6,1
400,26,6,1
401,27,6,1
402,28,6,1
403,29,6,1
404,20,7,1
405,21,7,1
406,22,7,1
407,23,7,1
408,24,7,1
409,25,7,1
410,26,7,1
411,27,7,1
412,28,7,1
413,29,7,1
414,20,8,1
415,21,8,1
416,22,8,1
417,23,8,1
418,24,8,1
419,25,8,1
420,26,8,1
421,27,8,1
422,28,8,1
423,29,8,1
424,20,9,1
425,21,9,1
426,22,9,1
427,23,9,1
428,24,9,1
429,25,9,1
430,26,9,1
431,27,9,1
432,28,9,1
